r_target,expiry_days,n,win_rate,avg_pnl,total_pnl,tf,split,depth_frac,n_zones
1.5,2.0,1505,0.591,1.0411,1566.83,15m,train,0.625,2354
2.0,0.25,1505,0.597,1.2771,1922.08,15m,train,0.625,2354
2.0,0.5,1505,0.581,1.1874,1787.06,15m,train,0.625,2354
2.0,0.75,1505,0.57,1.1536,1736.23,15m,train,0.625,2354
2.0,1.0,1505,0.566,1.1355,1708.9,15m,train,0.625,2354
2.0,1.5,1505,0.559,1.1156,1679.01,15m,train,0.625,2354
2.0,2.0,1505,0.557,1.1045,1662.21,15m,train,0.625,2354
2.5,0.25,1505,0.571,1.3669,2057.25,15m,train,0.625,2354
2.5,0.5,1505,0.548,1.2335,1856.42,15m,train,0.625,2354
2.5,0.75,1505,0.536,1.1821,1779.02,15m,train,0.625,2354
2.5,1.0,1505,0.529,1.1536,1736.14,15m,train,0.625,2354
2.5,1.5,1505,0.519,1.1218,1688.26,15m,train,0.625,2354
2.5,2.0,1505,0.517,1.1036,1660.93,15m,train,0.625,2354
3.0,0.25,1505,0.555,1.5169,2282.93,15m,train,0.625,2354
3.0,0.5,1505,0.526,1.335,2009.13,15m,train,0.625,2354
3.0,0.75,1505,0.513,1.2734,1916.5,15m,train,0.625,2354
3.0,1.0,1505,0.504,1.2198,1835.85,15m,train,0.625,2354
3.0,1.5,1505,0.492,1.171,1762.3,15m,train,0.625,2354
3.0,2.0,1505,0.49,1.144,1721.66,15m,train,0.625,2354
3.5,0.25,1505,0.543,1.6807,2529.51,15m,train,0.625,2354
3.5,0.5,1505,0.511,1.459,2195.76,15m,train,0.625,2354
3.5,0.75,1505,0.497,1.3712,2063.67,15m,train,0.625,2354
3.5,1.0,1505,0.488,1.3021,1959.64,15m,train,0.625,2354
3.5,1.5,1505,0.474,1.2367,1861.23,15m,train,0.625,2354
3.5,2.0,1505,0.471,1.2007,1807.08,15m,train,0.625,2354
4.0,0.25,1505,0.534,1.8513,2786.25,15m,train,0.625,2354
4.0,0.5,1505,0.502,1.6216,2440.47,15m,train,0.625,2354
4.0,0.75,1505,0.488,1.5072,2268.31,15m,train,0.625,2354
4.0,1.0,1505,0.477,1.4262,2146.46,15m,train,0.625,2354
4.0,1.5,1505,0.462,1.3488,2029.91,15m,train,0.625,2354
4.0,2.0,1505,0.458,1.3062,1965.89,15m,train,0.625,2354
4.5,0.25,1505,0.532,2.0223,3043.5,15m,train,0.625,2354
4.5,0.5,1505,0.499,1.8053,2716.93,15m,train,0.625,2354
4.5,0.75,1505,0.48,1.6642,2504.68,15m,train,0.625,2354
4.5,1.0,1505,0.468,1.5728,2367.03,15m,train,0.625,2354
4.5,1.5,1505,0.452,1.4844,2234.0,15m,train,0.625,2354
4.5,2.0,1505,0.448,1.4369,2162.6,15m,train,0.625,2354
5.0,0.25,1505,0.521,2.0026,3013.88,15m,train,0.625,2354
5.0,0.5,1505,0.486,1.7545,2640.52,15m,train,0.625,2354
5.0,0.75,1505,0.467,1.5838,2383.58,15m,train,0.625,2354
5.0,1.0,1505,0.454,1.479,2225.97,15m,train,0.625,2354
5.0,1.5,1505,0.435,1.3776,2073.32,15m,train,0.625,2354
5.0,2.0,1505,0.431,1.3196,1985.95,15m,train,0.625,2354
1.5,0.25,1496,0.623,1.1183,1672.96,15m,train,0.65,2354
1.5,0.5,1496,0.613,1.0784,1613.22,15m,train,0.65,2354
1.5,0.75,1496,0.605,1.0647,1592.86,15m,train,0.65,2354
1.5,1.0,1496,0.6,1.0581,1582.94,15m,train,0.65,2354
1.5,1.5,1496,0.594,1.0515,1573.01,15m,train,0.65,2354
1.5,2.0,1496,0.592,1.048,1567.85,15m,train,0.65,2354
2.0,0.25,1496,0.598,1.2897,1929.38,15m,train,0.65,2354
2.0,0.5,1496,0.586,1.2002,1795.48,15m,train,0.65,2354
2.0,0.75,1496,0.576,1.1679,1747.24,15m,train,0.65,2354
2.0,1.0,1496,0.57,1.1507,1721.48,15m,train,0.65,2354
2.0,1.5,1496,0.561,1.1319,1693.35,15m,train,0.65,2354
2.0,2.0,1496,0.559,1.1214,1677.55,15m,train,0.65,2354
2.5,0.25,1496,0.572,1.3774,2060.56,15m,train,0.65,2354
2.5,0.5,1496,0.553,1.2525,1873.69,15m,train,0.65,2354
2.5,0.75,1496,0.543,1.2054,1803.21,15m,train,0.65,2354
2.5,1.0,1496,0.534,1.1794,1764.36,15m,train,0.65,2354
2.5,1.5,1496,0.522,1.1505,1721.18,15m,train,0.65,2354
2.5,2.0,1496,0.519,1.1341,1696.63,15m,train,0.65,2354
3.0,0.25,1496,0.558,1.5436,2309.25,15m,train,0.65,2354
3.0,0.5,1496,0.535,1.37,2049.55,15m,train,0.65,2354
3.0,0.75,1496,0.523,1.3141,1965.89,15m,train,0.65,2354
3.0,1.0,1496,0.512,1.2631,1889.65,15m,train,0.65,2354
3.0,1.5,1496,0.499,1.2174,1821.19,15m,train,0.65,2354
3.0,2.0,1496,0.495,1.1921,1783.43,15m,train,0.65,2354
3.5,0.25,1496,0.546,1.6778,2509.98,15m,train,0.65,2354
3.5,0.5,1496,0.519,1.4766,2209.05,15m,train,0.65,2354
3.5,0.75,1496,0.505,1.3889,2077.83,15m,train,0.65,2354
3.5,1.0,1496,0.495,1.3221,1977.86,15m,train,0.65,2354
3.5,1.5,1496,0.48,1.2593,1883.93,15m,train,0.65,2354
3.5,2.0,1496,0.475,1.2248,1832.29,15m,train,0.65,2354
4.0,0.25,1496,0.537,1.8718,2800.28,15m,train,0.65,2354
4.0,0.5,1496,0.509,1.6608,2484.48,15m,train,0.65,2354
4.0,0.75,1496,0.495,1.5535,2323.97,15m,train,0.65,2354
4.0,1.0,1496,0.484,1.4762,2208.4,15m,train,0.65,2354
4.0,1.5,1496,0.469,1.4027,2098.46,15m,train,0.65,2354
4.0,2.0,1496,0.463,1.3624,2038.12,15m,train,0.65,2354
4.5,0.25,1496,0.532,1.9822,2965.32,15m,train,0.65,2354
