r_target,expiry_days,n,win_rate,avg_pnl,total_pnl,tf,split,depth_frac,n_zones
6.0,0.75,1513,0.249,-2.5468,-3853.3,15m,train,0.6,2354
6.0,1.0,1513,0.233,-3.3352,-5046.1,15m,train,0.6,2354
6.0,1.5,1513,0.211,-4.589,-6943.2,15m,train,0.6,2354
6.0,2.0,1513,0.204,-5.627,-8513.58,15m,train,0.6,2354
7.0,0.25,1513,0.36,-0.2942,-445.12,15m,train,0.6,2354
7.0,0.5,1513,0.276,-1.4682,-2221.33,15m,train,0.6,2354
7.0,0.75,1513,0.235,-2.3997,-3630.7,15m,train,0.6,2354
7.0,1.0,1513,0.217,-3.2066,-4851.57,15m,train,0.6,2354
7.0,1.5,1513,0.193,-4.4712,-6764.85,15m,train,0.6,2354
7.0,2.0,1513,0.186,-5.5248,-8359.06,15m,train,0.6,2354
8.0,0.25,1513,0.357,-0.2616,-395.84,15m,train,0.6,2354
8.0,0.5,1513,0.27,-1.4939,-2260.25,15m,train,0.6,2354
8.0,0.75,1513,0.227,-2.4339,-3682.54,15m,train,0.6,2354
8.0,1.0,1513,0.206,-3.2531,-4921.91,15m,train,0.6,2354
8.0,1.5,1513,0.18,-4.5174,-6834.75,15m,train,0.6,2354
8.0,2.0,1513,0.17,-5.5735,-8432.68,15m,train,0.6,2354
10.0,0.25,1513,0.355,-0.1991,-301.29,15m,train,0.6,2354
10.0,0.5,1513,0.263,-1.3162,-1991.37,15m,train,0.6,2354
10.0,0.75,1513,0.217,-2.3083,-3492.39,15m,train,0.6,2354
10.0,1.0,1513,0.196,-3.1118,-4708.13,15m,train,0.6,2354
10.0,1.5,1513,0.164,-4.3923,-6645.57,15m,train,0.6,2354
10.0,2.0,1513,0.153,-5.4444,-8237.34,15m,train,0.6,2354
12.0,0.25,1513,0.355,-0.1553,-235.02,15m,train,0.6,2354
12.0,0.5,1513,0.261,-1.2442,-1882.47,15m,train,0.6,2354
12.0,0.75,1513,0.213,-2.2008,-3329.87,15m,train,0.6,2354
12.0,1.0,1513,0.19,-3.0017,-4541.54,15m,train,0.6,2354
12.0,1.5,1513,0.155,-4.2831,-6480.26,15m,train,0.6,2354
12.0,2.0,1513,0.142,-5.3202,-8049.46,15m,train,0.6,2354
15.0,0.25,1513,0.355,-0.1412,-213.58,15m,train,0.6,2354
15.0,0.5,1513,0.26,-1.2012,-1817.39,15m,train,0.6,2354
15.0,0.75,1513,0.212,-2.0964,-3171.92,15m,train,0.6,2354
15.0,1.0,1513,0.186,-2.8711,-4343.95,15m,train,0.6,2354
15.0,1.5,1513,0.15,-4.1202,-6233.91,15m,train,0.6,2354
15.0,2.0,1513,0.136,-5.1373,-7772.69,15m,train,0.6,2354
20.0,0.25,1513,0.354,-0.121,-183.02,15m,train,0.6,2354
20.0,0.5,1513,0.259,-1.1392,-1723.54,15m,train,0.6,2354
20.0,0.75,1513,0.21,-1.9971,-3021.6,15m,train,0.6,2354
20.0,1.0,1513,0.183,-2.7571,-4171.5,15m,train,0.6,2354
20.0,1.5,1513,0.145,-3.9617,-5994.07,15m,train,0.6,2354
20.0,2.0,1513,0.13,-4.9419,-7477.12,15m,train,0.6,2354
5.0,0.25,1505,0.373,-0.484,-728.45,15m,train,0.625,2354
5.0,0.5,1505,0.3,-1.762,-2651.86,15m,train,0.625,2354
5.0,0.75,1505,0.268,-2.723,-4098.13,15m,train,0.625,2354
5.0,1.0,1505,0.254,-3.4939,-5258.35,15m,train,0.625,2354
5.0,1.5,1505,0.233,-4.7128,-7092.77,15m,train,0.625,2354
5.0,2.0,1505,0.223,-5.7128,-8597.8,15m,train,0.625,2354
6.0,0.25,1505,0.365,-0.383,-576.42,15m,train,0.625,2354
6.0,0.5,1505,0.288,-1.6364,-2462.76,15m,train,0.625,2354
6.0,0.75,1505,0.25,-2.5743,-3874.3,15m,train,0.625,2354
6.0,1.0,1505,0.233,-3.3594,-5055.97,15m,train,0.625,2354
6.0,1.5,1505,0.211,-4.6092,-6936.85,15m,train,0.625,2354
6.0,2.0,1505,0.204,-5.6444,-8494.89,15m,train,0.625,2354
7.0,0.25,1505,0.357,-0.355,-534.3,15m,train,0.625,2354
7.0,0.5,1505,0.272,-1.5423,-2321.12,15m,train,0.625,2354
7.0,0.75,1505,0.233,-2.4533,-3692.19,15m,train,0.625,2354
7.0,1.0,1505,0.215,-3.2601,-4906.38,15m,train,0.625,2354
7.0,1.5,1505,0.192,-4.5218,-6805.3,15m,train,0.625,2354
7.0,2.0,1505,0.185,-5.5723,-8386.27,15m,train,0.625,2354
8.0,0.25,1505,0.354,-0.3107,-467.65,15m,train,0.625,2354
8.0,0.5,1505,0.268,-1.5458,-2326.41,15m,train,0.625,2354
8.0,0.75,1505,0.227,-2.4626,-3706.22,15m,train,0.625,2354
8.0,1.0,1505,0.205,-3.2842,-4942.7,15m,train,0.625,2354
8.0,1.5,1505,0.18,-4.5512,-6849.58,15m,train,0.625,2354
8.0,2.0,1505,0.17,-5.603,-8432.58,15m,train,0.625,2354
10.0,0.25,1505,0.352,-0.2586,-389.25,15m,train,0.625,2354
10.0,0.5,1505,0.26,-1.3996,-2106.33,15m,train,0.625,2354
10.0,0.75,1505,0.215,-2.3679,-3563.69,15m,train,0.625,2354
10.0,1.0,1505,0.193,-3.1663,-4765.33,15m,train,0.625,2354
10.0,1.5,1505,0.163,-4.4467,-6692.31,15m,train,0.625,2354
10.0,2.0,1505,0.152,-5.5036,-8282.97,15m,train,0.625,2354
12.0,0.25,1505,0.352,-0.2139,-321.91,15m,train,0.625,2354
12.0,0.5,1505,0.258,-1.304,-1962.48,15m,train,0.625,2354
12.0,0.75,1505,0.211,-2.2321,-3359.31,15m,train,0.625,2354
12.0,1.0,1505,0.188,-3.0138,-4535.81,15m,train,0.625,2354
12.0,1.5,1505,0.154,-4.2872,-6452.17,15m,train,0.625,2354
12.0,2.0,1505,0.142,-5.3207,-8007.6,15m,train,0.625,2354
15.0,0.25,1505,0.352,-0.1942,-292.21,15m,train,0.625,2354
15.0,0.5,1505,0.257,-1.243,-1870.67,15m,train,0.625,2354
15.0,0.75,1505,0.21,-2.1111,-3177.18,15m,train,0.625,2354
15.0,1.0,1505,0.185,-2.8821,-4337.5,15m,train,0.625,2354
15.0,1.5,1505,0.149,-4.1539,-6251.65,15m,train,0.625,2354
15.0,2.0,1505,0.135,-5.1807,-7797.02,15m,train,0.625,2354
20.0,0.25,1505,0.351,-0.1746,-262.79,15m,train,0.625,2354
20.0,0.5,1505,0.256,-1.1903,-1791.41,15m,train,0.625,2354
20.0,0.75,1505,0.209,-2.0245,-3046.93,15m,train,0.625,2354
20.0,1.0,1505,0.181,-2.7802,-4184.15,15m,train,0.625,2354
20.0,1.5,1505,0.144,-4.0078,-6031.78,15m,train,0.625,2354
20.0,2.0,1505,0.128,-5.0017,-7527.5,15m,train,0.625,2354
5.0,0.25,1496,0.376,-0.4487,-671.24,15m,train,0.65,2354
5.0,0.5,1496,0.304,-1.6935,-2533.53,15m,train,0.65,2354
5.0,0.75,1496,0.273,-2.6458,-3958.13,15m,train,0.65,2354
5.0,1.0,1496,0.261,-3.4119,-5104.24,15m,train,0.65,2354
5.0,1.5,1496,0.239,-4.6249,-6918.84,15m,train,0.65,2354
5.0,2.0,1496,0.225,-5.6212,-8409.38,15m,train,0.65,2354
6.0,0.25,1496,0.369,-0.3559,-532.45,15m,train,0.65,2354
6.0,0.5,1496,0.29,-1.6115,-2410.77,15m,train,0.65,2354
6.0,0.75,1496,0.253,-2.5462,-3809.19,15m,train,0.65,2354
6.0,1.0,1496,0.237,-3.3288,-4979.95,15m,train,0.65,2354
6.0,1.5,1496,0.215,-4.5817,-6854.22,15m,train,0.65,2354
6.0,2.0,1496,0.207,-5.6009,-8379.02,15m,train,0.65,2354
7.0,0.25,1496,0.36,-0.3452,-516.36,15m,train,0.65,2354
7.0,0.5,1496,0.273,-1.5605,-2334.53,15m,train,0.65,2354
7.0,0.75,1496,0.234,-2.4882,-3722.27,15m,train,0.65,2354
7.0,1.0,1496,0.217,-3.3006,-4937.76,15m,train,0.65,2354
7.0,1.5,1496,0.193,-4.5764,-6846.32,15m,train,0.65,2354
7.0,2.0,1496,0.185,-5.6215,-8409.77,15m,train,0.65,2354
8.0,0.25,1496,0.358,-0.2953,-441.73,15m,train,0.65,2354
8.0,0.5,1496,0.27,-1.4786,-2212.01,15m,train,0.65,2354
8.0,0.75,1496,0.229,-2.3905,-3576.19,15m,train,0.65,2354
8.0,1.0,1496,0.209,-3.2056,-4795.6,15m,train,0.65,2354
8.0,1.5,1496,0.184,-4.4657,-6680.74,15m,train,0.65,2354
8.0,2.0,1496,0.174,-5.5179,-8254.78,15m,train,0.65,2354
