tf,split,hour,dow,net
15m,train,23,1,-3.2819211918760782
15m,train,14,3,-2.614014873643193
15m,train,15,3,-0.8098756971225769
15m,train,9,4,14.933972147783516
15m,train,18,5,6.4435934749902035
15m,train,14,6,2.544644383766038
15m,train,12,2,-27.488852165997855
15m,train,12,1,-8.032850437615203
15m,train,22,1,16.77584399135945
15m,train,15,1,0.5230230457476978
15m,train,20,1,-2.0921038108359924
15m,train,15,2,0.3714565249021129
15m,train,19,2,16.19652782624729
15m,train,20,4,-4.3076808557316415
15m,train,15,5,-3.3932125362277645
15m,train,22,6,18.401407752263115
15m,train,9,0,1.8830958750461202
15m,train,13,0,19.74200886484668
15m,train,0,1,-9.999470674720252
15m,train,1,3,-2.530369196688724
15m,train,10,3,3.463411177665864
15m,train,23,3,-5.240613228118387
15m,train,20,4,-2.825374965678658
15m,train,17,5,4.648251258162703
15m,train,12,5,9.982325674992472
15m,train,18,5,-3.2011722465480537
15m,train,1,1,18.722675125499155
15m,train,18,4,6.400813026400003
15m,train,12,0,3.625372225093257
15m,train,16,0,18.428279915290428
15m,train,5,1,-11.115297132887449
15m,train,3,2,18.247244338912257
15m,train,6,2,-1.2815050928316278
15m,train,8,3,-0.3954519995361282
15m,train,13,3,0.7186418307696977
15m,train,21,4,-5.347410191995531
15m,train,0,6,0.1386234098721179
15m,train,10,6,-2.4375806906267443
15m,train,22,6,1.677741207707173
15m,train,3,0,-3.627758198433806
15m,train,6,1,-3.0023250594382733
15m,train,8,1,0.46826422761610753
15m,train,2,2,-5.821491472664511
15m,train,7,2,-6.315847624673684
15m,train,0,3,-8.671509624429547
15m,train,13,4,-2.273690938163782
15m,train,15,4,14.196543241085761
15m,train,20,4,17.944684284725763
15m,train,2,5,-6.5573053948619595
15m,train,19,5,17.63905757460488
15m,train,15,5,-0.8517846668091532
15m,train,18,5,0.5149958036187684
15m,train,6,6,17.487452189879008
15m,train,21,5,-0.4426121364771096
15m,train,1,0,17.762466074376405
15m,train,3,0,2.287232633070874
15m,train,22,0,-9.748439502471937
15m,train,6,1,0.4238268363051013
15m,train,9,1,4.5765820451093076
15m,train,11,2,-2.0516587570180276
15m,train,14,3,-9.030394940343854
15m,train,21,2,-3.6657742537597477
15m,train,0,3,-6.176259226873009
15m,train,11,3,7.439164971154207
15m,train,12,3,4.930713332276869
15m,train,3,4,-9.933908817753382
15m,train,2,4,-0.17093728121717372
15m,train,3,0,16.08529450513251
15m,train,17,5,-4.22895387528652
15m,train,2,6,1.5463706907389756
15m,train,5,6,-3.6371610773029857
15m,train,14,6,-5.518322809987522
15m,train,16,6,0.6220624240115665
15m,train,4,0,1.8441315469474793
15m,train,17,0,19.8829533553913
15m,train,22,0,-2.348644109736958
15m,train,11,2,4.924050274377272
15m,train,21,2,-5.065178586353616
15m,train,14,4,-6.943869207782998
