r_target,expiry_days,n,win_rate,avg_pnl,total_pnl,tf,split,depth_frac,n_zones
2.0,2.0,10993,0.142,-5.7374,-63071.69,15m,train,0.35,16895
2.5,0.25,10993,0.415,-0.8223,-9039.97,15m,train,0.35,16895
2.5,0.5,10993,0.353,-2.0174,-22177.6,15m,train,0.35,16895
2.5,0.75,10993,0.312,-2.8723,-31574.95,15m,train,0.35,16895
2.5,1.0,10993,0.276,-3.5698,-39242.28,15m,train,0.35,16895
2.5,1.5,10993,0.214,-4.7314,-52012.27,15m,train,0.35,16895
2.5,2.0,10993,0.17,-5.6838,-62482.33,15m,train,0.35,16895
3.0,0.25,10993,0.398,-0.6962,-7653.1,15m,train,0.35,16895
3.0,0.5,10993,0.339,-1.9231,-21140.37,15m,train,0.35,16895
3.0,0.75,10993,0.306,-2.7977,-30754.93,15m,train,0.35,16895
3.0,1.0,10993,0.279,-3.5032,-38510.39,15m,train,0.35,16895
3.0,1.5,10993,0.234,-4.6779,-51424.46,15m,train,0.35,16895
3.0,2.0,10993,0.195,-5.6398,-61998.86,15m,train,0.35,16895
3.5,0.25,10993,0.385,-0.5832,-6410.77,15m,train,0.35,16895
3.5,0.5,10993,0.326,-1.8252,-20064.32,15m,train,0.35,16895
3.5,0.75,10993,0.298,-2.7254,-29960.33,15m,train,0.35,16895
3.5,1.0,10993,0.277,-3.439,-37804.89,15m,train,0.35,16895
3.5,1.5,10993,0.244,-4.6234,-50825.0,15m,train,0.35,16895
3.5,2.0,10993,0.211,-5.5951,-61507.03,15m,train,0.35,16895
4.0,0.25,10993,0.376,-0.4789,-5264.27,15m,train,0.35,16895
4.0,0.5,10993,0.315,-1.7206,-18914.46,15m,train,0.35,16895
4.0,0.75,10993,0.288,-2.6354,-28970.93,15m,train,0.35,16895
4.0,1.0,10993,0.27,-3.3585,-36920.27,15m,train,0.35,16895
4.0,1.5,10993,0.243,-4.5526,-50046.84,15m,train,0.35,16895
4.0,2.0,10993,0.219,-5.5356,-60853.29,15m,train,0.35,16895
4.5,0.25,10993,0.368,-0.4043,-4444.01,15m,train,0.35,16895
4.5,0.5,10993,0.305,-1.6435,-18066.84,15m,train,0.35,16895
4.5,0.75,10993,0.277,-2.5654,-28201.69,15m,train,0.35,16895
4.5,1.0,10993,0.26,-3.2991,-36267.34,15m,train,0.35,16895
4.5,1.5,10993,0.238,-4.5018,-49488.66,15m,train,0.35,16895
4.5,2.0,10993,0.219,-5.4919,-60372.86,15m,train,0.35,16895
5.0,0.25,10993,0.361,-0.3521,-3870.61,15m,train,0.35,16895
5.0,0.5,10993,0.296,-1.5799,-17368.11,15m,train,0.35,16895
5.0,0.75,10993,0.268,-2.5046,-27532.86,15m,train,0.35,16895
5.0,1.0,10993,0.25,-3.2508,-35735.56,15m,train,0.35,16895
5.0,1.5,10993,0.228,-4.4614,-49043.96,15m,train,0.35,16895
5.0,2.0,10993,0.212,-5.4591,-60011.97,15m,train,0.35,16895
7.0,0.25,10993,0.348,-0.1927,-2118.86,15m,train,0.35,16895
7.0,0.5,10993,0.274,-1.3737,-15101.31,15m,train,0.35,16895
7.0,0.75,10993,0.241,-2.3044,-25332.06,15m,train,0.35,16895
7.0,1.0,10993,0.22,-3.0534,-33566.22,15m,train,0.35,16895
7.0,1.5,10993,0.2,-4.2815,-47066.86,15m,train,0.35,16895
7.0,2.0,10993,0.188,-5.2968,-58227.44,15m,train,0.35,16895
10.0,0.25,10993,0.342,-0.1287,-1414.33,15m,train,0.35,16895
10.0,0.5,10993,0.261,-1.2611,-13863.8,15m,train,0.35,16895
10.0,0.75,10993,0.221,-2.1943,-24122.07,15m,train,0.35,16895
10.0,1.0,10993,0.197,-2.947,-32396.16,15m,train,0.35,16895
10.0,1.5,10993,0.172,-4.1836,-45990.54,15m,train,0.35,16895
10.0,2.0,10993,0.157,-5.2147,-57324.66,15m,train,0.35,16895
1.5,0.25,10971,0.44,-1.0957,-12020.67,15m,train,0.375,16895
1.5,0.5,10971,0.337,-2.2082,-24226.45,15m,train,0.375,16895
1.5,0.75,10971,0.261,-3.0293,-33234.45,15m,train,0.375,16895
1.5,1.0,10971,0.21,-3.702,-40614.7,15m,train,0.375,16895
