tf,depth_frac,r_target,expiry_days,avg_pnl_holdout,avg_pnl_train,avg_pnl_validation,n_holdout,n_train,n_validation
15m,0.475,3.0,0.25,1.896,1.6869,0.9889,636,1544,719
15m,0.675,3.5,0.25,1.891,1.6869,1.4422,611,1489,692
15m,0.35,4.0,1.0,1.9989,1.686,0.4236,643,1571,728
15m,0.625,3.5,0.25,1.8791,1.6807,1.3997,617,1505,701
15m,0.55,4.5,0.75,2.0765,1.6781,0.9495,627,1525,706
15m,0.65,3.5,0.25,1.882,1.6778,1.4191,613,1496,695
15m,0.7,4.5,0.75,1.9368,1.6756,1.2411,611,1485,687
15m,0.6,4.0,0.5,2.0063,1.6713,1.0382,618,1513,703
15m,0.45,3.5,0.5,1.9778,1.6708,0.6548,638,1550,723
15m,0.675,4.5,0.75,2.0158,1.6705,1.1568,611,1489,692
15m,0.35,3.5,0.75,1.8117,1.6702,0.3917,643,1571,728
15m,0.7,3.5,0.25,1.7565,1.6675,1.4315,611,1485,687
15m,0.625,4.5,0.75,1.8974,1.6642,1.0371,617,1505,701
15m,0.375,4.0,1.0,2.0245,1.6634,0.4378,640,1566,727
15m,0.375,5.0,1.0,2.4657,1.6621,0.4957,640,1566,727
15m,0.65,4.0,0.5,1.8809,1.6608,1.112,613,1496,695
15m,0.325,2.5,0.25,1.7114,1.6588,0.8942,643,1573,729
15m,0.575,5.0,0.75,2.3651,1.6578,0.9711,624,1519,704
15m,0.3,3.0,0.5,1.8352,1.657,0.4991,645,1577,731
15m,0.475,4.0,0.75,2.0193,1.6566,0.7194,636,1544,719
15m,0.65,5.0,0.75,2.0155,1.6561,1.0659,613,1496,695
15m,0.35,4.5,1.0,2.1008,1.6539,0.3328,643,1571,728
15m,0.4,5.0,1.0,2.4067,1.6519,0.5101,640,1563,726
15m,0.5,4.5,0.75,2.3199,1.651,0.9039,631,1535,715
15m,0.475,3.5,0.5,1.9617,1.6498,0.7015,636,1544,719
15m,0.3,4.5,1.0,2.1602,1.6496,0.3235,645,1577,731
15m,0.35,2.5,0.25,1.672,1.6486,0.7609,643,1571,728
15m,0.3,2.5,0.25,1.7353,1.6478,0.8014,645,1577,731
15m,0.3,3.5,0.75,1.8884,1.6473,0.3691,645,1577,731
15m,0.525,3.0,0.25,1.9426,1.6471,1.1332,628,1532,710
15m,0.525,5.0,1.0,2.2025,1.6456,0.7378,628,1532,710
15m,0.375,4.5,1.0,2.2128,1.6435,0.3825,640,1566,727
15m,0.525,4.5,0.75,2.2438,1.643,0.9417,628,1532,710
15m,0.425,4.5,1.0,2.1379,1.6428,0.5721,640,1557,724
15m,0.425,5.0,1.0,2.3052,1.6428,0.5928,640,1557,724
15m,0.3,4.0,1.0,2.1075,1.6423,0.2923,645,1577,731
15m,0.65,4.5,0.75,1.9162,1.6423,1.0467,613,1496,695
