tf,depth_frac,r_target,expiry_days,avg_pnl_holdout,avg_pnl_train,avg_pnl_validation,n_holdout,n_train,n_validation
2h,0.525,7.0,0.5,0.7761,2.4701,0.6701,393,1023,412
2h,0.525,2.0,0.25,1.4596,2.4692,1.4448,393,1023,412
2h,0.475,2.0,0.25,1.0005,2.462,1.1483,399,1038,418
2h,0.65,7.0,0.5,1.5627,2.4479,0.5675,380,991,402
2h,0.425,2.0,0.25,0.6352,2.4454,0.3819,402,1053,432
2h,0.325,2.0,0.25,0.5929,2.437,0.6254,417,1082,445
2h,0.3,2.0,0.25,0.6585,2.4342,0.4661,421,1089,450
2h,0.35,2.0,0.25,0.6627,2.4317,0.3961,413,1076,442
2h,0.7,7.0,0.5,0.9383,2.4152,0.8213,374,974,397
2h,0.7,2.0,0.25,0.8473,2.4124,1.0453,374,974,397
2h,0.675,1.5,0.25,1.1475,2.4071,0.6702,377,985,398
2h,0.375,2.0,0.25,0.6893,2.4045,0.6492,408,1066,440
2h,0.65,2.0,0.25,1.3503,2.3948,0.9724,380,991,402
2h,0.625,1.5,0.25,1.0986,2.3784,0.7155,384,997,404
2h,0.675,5.0,0.5,0.69,2.3675,0.4305,377,985,398
2h,0.625,5.0,0.5,0.8804,2.3501,0.5192,384,997,404
2h,0.6,1.5,0.25,1.0138,2.3333,1.0585,386,1005,407
2h,0.6,5.0,0.5,0.6997,2.321,0.5438,386,1005,407
2h,0.55,5.0,0.5,0.7155,2.3197,0.9556,392,1016,410
2h,0.7,1.5,0.25,0.8808,2.3138,0.8343,374,974,397
2h,0.575,5.0,0.5,0.6465,2.2869,0.6866,390,1008,408
2h,0.575,1.5,0.25,0.9787,2.2717,1.1583,390,1008,408
2h,0.625,4.5,0.5,0.8351,2.2605,0.3885,384,997,404
2h,0.675,4.5,0.5,0.5183,2.2599,0.3289,377,985,398
2h,0.5,5.0,0.5,0.6323,2.2535,0.7943,396,1031,415
2h,0.525,1.5,0.25,1.0851,2.2492,1.3656,393,1023,412
2h,0.65,1.5,0.25,1.0852,2.2486,0.6413,380,991,402
