zone_kind,r_target,expiry_days,iv_threshold,n_train,avg_pnl_train,n_val,n_hold
OB,3.0,2.0,65,785,1.081,622.0,356.0
OB,3.0,2.0,70,548,1.089,327.0,220.0
OB,3.0,2.0,75,439,1.114,49.0,80.0
OB,3.0,3.0,60,1229,1.091,715.0,478.0
OB,3.0,3.0,65,785,1.056,622.0,356.0
OB,3.0,3.0,70,548,1.076,327.0,220.0
OB,3.0,3.0,75,439,1.106,49.0,80.0
OB,3.0,5.0,60,1229,1.057,715.0,478.0
OB,3.0,5.0,65,785,1.033,622.0,356.0
OB,3.0,5.0,70,548,1.064,327.0,220.0
OB,3.0,5.0,75,439,1.1,49.0,80.0
BB,1.0,0.5,60,400,1.278,226.0,156.0
BB,1.0,0.5,65,265,1.098,204.0,117.0
BB,1.0,0.5,70,186,1.124,109.0,78.0
BB,1.0,1.0,60,400,1.347,226.0,156.0
BB,1.0,1.0,65,265,1.184,204.0,117.0
BB,1.0,1.0,70,186,1.295,109.0,78.0
BB,1.0,2.0,60,400,1.414,226.0,156.0
BB,1.0,2.0,65,265,1.254,204.0,117.0
BB,1.0,2.0,70,186,1.423,109.0,78.0
BB,1.0,3.0,60,400,1.447,226.0,156.0
BB,1.0,3.0,65,265,1.288,204.0,117.0
BB,1.0,3.0,70,186,1.482,109.0,78.0
BB,1.0,5.0,60,400,1.482,226.0,156.0
BB,1.0,5.0,65,265,1.322,204.0,117.0
BB,1.0,5.0,70,186,1.541,109.0,78.0
BB,1.5,0.5,60,400,1.417,226.0,156.0
BB,1.5,0.5,65,265,1.138,204.0,117.0
BB,1.5,0.5,70,186,1.134,109.0,78.0
BB,1.5,1.0,60,400,1.445,226.0,156.0
BB,1.5,1.0,65,265,1.152,204.0,117.0
BB,1.5,1.0,70,186,1.227,109.0,78.0
BB,1.5,2.0,60,400,1.489,226.0,156.0
BB,1.5,2.0,65,265,1.193,204.0,117.0
BB,1.5,2.0,70,186,1.328,109.0,78.0
BB,1.5,3.0,60,400,1.512,226.0,156.0
BB,1.5,3.0,65,265,1.214,204.0,117.0
BB,1.5,3.0,70,186,1.375,109.0,78.0
BB,1.5,5.0,60,400,1.536,226.0,156.0
BB,1.5,5.0,65,265,1.236,204.0,117.0
BB,1.5,5.0,70,186,1.423,109.0,78.0
BB,2.0,0.5,60,400,1.23,226.0,156.0
BB,2.0,0.5,65,265,0.825,204.0,117.0
