zone_kind,r_target,expiry_days,iv_threshold,n,win_rate,avg_pnl_$,total_pnl_$,std_pnl_$
MB,2.5,5.0,85,252,0.389,1.078,271.5,10.675
MB,2.5,5.0,90,232,0.379,0.977,226.7,10.956
MB,3.0,0.5,60,1099,0.488,3.333,3663.0,12.328
MB,3.0,0.5,65,736,0.485,3.163,2327.7,12.618
MB,3.0,0.5,70,527,0.499,3.638,1917.4,12.771
MB,3.0,0.5,75,423,0.499,3.547,1500.5,12.245
MB,3.0,0.5,80,307,0.492,2.829,868.6,10.987
MB,3.0,0.5,85,252,0.476,2.489,627.3,10.476
MB,3.0,0.5,90,232,0.47,2.41,559.1,10.731
MB,3.0,1.0,60,1099,0.445,3.101,3408.0,13.222
MB,3.0,1.0,65,736,0.451,2.912,2143.1,13.424
MB,3.0,1.0,70,527,0.469,3.316,1747.7,13.591
MB,3.0,1.0,75,423,0.463,3.107,1314.4,12.984
MB,3.0,1.0,80,307,0.45,2.403,737.8,11.822
MB,3.0,1.0,85,252,0.433,1.986,500.6,11.071
MB,3.0,1.0,90,232,0.427,1.863,432.1,11.269
MB,3.0,2.0,60,1099,0.413,2.648,2910.1,13.879
MB,3.0,2.0,65,736,0.418,2.489,1831.9,14.409
MB,3.0,2.0,70,527,0.438,2.811,1481.4,14.597
MB,3.0,2.0,75,423,0.435,2.45,1036.4,13.944
MB,3.0,2.0,80,307,0.427,1.543,473.7,12.838
MB,3.0,2.0,85,252,0.413,1.562,393.6,11.163
MB,3.0,2.0,90,232,0.405,1.524,353.6,11.479
MB,3.0,3.0,60,1099,0.396,2.488,2734.4,13.912
MB,3.0,3.0,65,736,0.401,2.317,1705.3,14.363
MB,3.0,3.0,70,527,0.416,2.772,1460.7,14.89
MB,3.0,3.0,75,423,0.409,2.381,1007.2,14.137
MB,3.0,3.0,80,307,0.397,1.464,449.4,12.953
MB,3.0,3.0,85,252,0.389,1.459,367.7,11.37
MB,3.0,3.0,90,232,0.379,1.433,332.4,11.69
MB,3.0,5.0,60,1099,0.379,2.376,2610.8,14.145
MB,3.0,5.0,65,736,0.383,2.207,1624.3,14.588
MB,3.0,5.0,70,527,0.4,2.698,1421.8,15.166
MB,3.0,5.0,75,423,0.392,2.27,960.4,14.303
MB,3.0,5.0,80,307,0.375,1.33,408.2,13.022
MB,3.0,5.0,85,252,0.373,1.354,341.2,11.564
MB,3.0,5.0,90,232,0.366,1.336,309.9,11.881
OB,1.0,0.5,60,1227,0.654,0.968,1187.1,6.437
OB,1.0,0.5,65,785,0.664,1.052,825.7,6.917
OB,1.0,0.5,70,548,0.668,0.984,539.2,7.597
