depth_frac,r_target,expiry_days,avg_pnl_holdout,avg_pnl_train,avg_pnl_validation,n_holdout,n_train,n_validation
0.55,5.0,6.0,3.33,1.626,3.5786,178,453,222
0.55,5.0,7.0,3.4283,1.625,3.5815,178,453,222
0.675,5.0,1.0,2.1102,1.6245,3.5966,175,436,218
0.525,4.5,2.0,2.3877,1.6199,3.6809,180,455,224
0.7,2.0,4.0,2.5224,1.619,2.6241,175,431,217
0.575,3.5,1.0,1.817,1.6171,2.9891,178,450,222
0.575,3.5,2.0,2.0253,1.6147,2.9429,178,450,222
0.6,4.5,2.0,2.5685,1.6141,3.5002,177,446,221
0.525,4.5,3.0,2.6178,1.6111,3.688,180,455,224
0.55,5.0,1.0,2.4575,1.6093,3.7175,178,453,222
0.65,5.0,2.0,2.3783,1.6091,3.4757,176,438,220
0.5,4.5,1.0,2.517,1.609,3.4634,181,459,226
0.7,2.5,1.0,2.0278,1.6089,2.6916,175,431,217
0.7,2.0,3.0,2.4023,1.6081,2.6199,175,431,217
0.65,5.0,3.0,2.5768,1.6077,3.5025,176,438,220
0.6,2.0,1.0,1.5192,1.607,2.2933,177,446,221
0.6,3.5,1.0,2.0786,1.6059,2.8911,177,446,221
0.575,3.5,3.0,2.2153,1.6058,2.9345,178,450,222
0.7,1.5,7.0,3.15,1.6049,2.4957,175,431,217
0.575,3.5,4.0,2.362,1.603,2.9317,178,450,222
0.65,5.0,4.0,2.73,1.6026,3.5193,176,438,220
0.6,1.5,7.0,2.109,1.602,2.1271,177,446,221
0.575,3.5,5.0,2.4823,1.602,2.9305,178,450,222
0.575,3.5,7.0,2.6755,1.602,2.9299,178,450,222
0.575,3.5,6.0,2.5851,1.6018,2.9301,178,450,222
0.65,5.0,5.0,2.8555,1.6,3.5311,176,438,220
0.65,5.0,1.0,2.1629,1.5996,3.4247,176,438,220
0.7,1.5,6.0,3.0995,1.5988,2.4913,175,431,217
0.65,5.0,6.0,2.9098,1.5986,3.5399,176,438,220
0.65,5.0,7.0,3.0566,1.5978,3.5469,176,438,220
0.5,4.5,2.0,2.7491,1.5975,3.4245,181,459,226
0.6,1.5,6.0,2.0577,1.5963,2.1249,177,446,221
0.7,2.0,2.0,2.2221,1.591,2.6117,175,431,217
0.7,1.5,5.0,3.0373,1.5909,2.4852,175,431,217
0.6,1.5,5.0,1.9943,1.5889,2.1218,177,446,221
0.65,4.0,1.0,2.1397,1.5888,2.9194,176,438,220
0.675,5.0,2.0,2.3562,1.5882,3.6128,175,436,218
0.6,3.5,2.0,2.2685,1.5875,2.8923,177,446,221
0.525,4.5,4.0,2.7525,1.5871,3.6963,180,455,224
0.5,4.5,3.0,3.0119,1.5865,3.4299,181,459,226
0.6,4.0,1.0,1.9966,1.5851,3.091,177,446,221
0.6,4.5,1.0,2.2439,1.5835,3.4364,177,446,221
0.7,4.0,7.0,3.3941,1.5834,3.3376,175,431,217
0.4,5.0,1.0,2.6385,1.5814,3.3171,186,463,230
0.575,4.5,3.0,2.7626,1.5811,3.5606,178,450,222
0.7,1.5,4.0,2.957,1.58,2.4762,175,431,217
0.65,4.5,1.0,2.0695,1.5796,3.0197,176,438,220
0.7,4.0,6.0,3.307,1.5795,3.3354,175,431,217
0.6,1.5,4.0,1.9124,1.579,2.1171,177,446,221
0.525,4.5,5.0,2.8598,1.5786,3.7034,180,455,224
0.6,4.0,2.0,2.1814,1.5774,3.0855,177,446,221
0.575,4.5,2.0,2.4999,1.5768,3.5506,178,450,222
0.6,3.5,3.0,2.4472,1.5768,2.8978,177,446,221
0.575,4.5,4.0,2.914,1.5762,3.5692,178,450,222
0.625,3.5,1.0,2.0423,1.5754,2.7099,176,442,220
0.525,4.5,1.0,2.2123,1.5749,3.721,180,455,224
0.7,4.0,5.0,3.2032,1.5748,3.3324,175,431,217
0.525,4.5,6.0,2.8633,1.5746,3.7095,180,455,224
0.475,1.5,7.0,1.848,1.5742,1.825,184,460,227
0.575,4.5,5.0,3.0344,1.5737,3.5762,178,450,222
0.6,3.5,4.0,2.5867,1.5734,2.9021,177,446,221
0.575,4.5,6.0,3.1373,1.5727,3.582,178,450,222
0.525,4.5,7.0,2.9502,1.5727,3.7147,180,455,224
0.575,4.5,7.0,3.2278,1.5724,3.5869,178,450,222
0.6,3.5,5.0,2.702,1.5722,2.9054,177,446,221
0.6,3.5,7.0,2.8885,1.572,2.9101,177,446,221
0.6,3.5,6.0,2.801,1.5719,2.908,177,446,221
0.475,1.5,6.0,1.7883,1.5709,1.8248,184,460,227
0.7,4.0,4.0,3.0763,1.569,3.3283,175,431,217
0.6,3.0,7.0,2.7932,1.567,2.3477,177,446,221
0.6,4.0,3.0,2.3577,1.5669,3.0892,177,446,221
0.475,1.5,5.0,1.7149,1.5666,1.8241,184,460,227
0.625,3.5,2.0,2.3541,1.5666,2.6902,176,442,220
0.675,5.0,3.0,2.567,1.5654,3.6233,175,436,218
0.6,3.0,6.0,2.7053,1.5653,2.3475,177,446,221
0.45,4.0,4.0,2.5664,1.5649,2.9511,185,460,228
0.6,1.5,3.0,1.7999,1.5647,2.1095,177,446,221
0.7,1.5,3.0,2.8469,1.564,2.4622,175,431,217
0.5,4.5,4.0,3.1707,1.5639,3.4367,181,459,226
0.5,5.0,1.0,2.9169,1.5635,3.2734,181,459,226
0.6,3.0,5.0,2.6055,1.5632,2.3473,177,446,221
0.575,4.5,1.0,2.1707,1.5632,3.5628,178,450,222
0.6,4.0,4.0,2.4957,1.5631,3.0929,177,446,221
0.7,4.0,3.0,2.9149,1.5616,3.3222,175,431,217
0.6,4.0,5.0,2.6099,1.5616,3.096,177,446,221
0.6,4.0,7.0,2.7949,1.561,3.101,177,446,221
0.6,4.0,6.0,2.7081,1.561,3.0987,177,446,221
