r_target,expiry_days,n,win_rate,avg_pnl,total_pnl,tf,split,depth_frac,n_zones
4.5,0.75,1557,0.268,-2.5696,-4000.83,15m,train,0.425,2354
4.5,1.0,1557,0.257,-3.3311,-5186.5,15m,train,0.425,2354
4.5,1.5,1557,0.241,-4.5685,-7113.22,15m,train,0.425,2354
4.5,2.0,1557,0.231,-5.5809,-8689.39,15m,train,0.425,2354
5.0,0.25,1557,0.376,-0.3085,-480.36,15m,train,0.425,2354
5.0,0.5,1557,0.296,-1.5934,-2480.97,15m,train,0.425,2354
5.0,0.75,1557,0.256,-2.5512,-3972.14,15m,train,0.425,2354
5.0,1.0,1557,0.241,-3.3311,-5186.57,15m,train,0.425,2354
5.0,1.5,1557,0.222,-4.5784,-7128.52,15m,train,0.425,2354
5.0,2.0,1557,0.213,-5.6183,-8747.65,15m,train,0.425,2354
1.5,0.25,1550,0.454,-1.3911,-2156.2,15m,train,0.45,2354
1.5,0.5,1550,0.361,-2.5017,-3877.68,15m,train,0.45,2354
1.5,0.75,1550,0.277,-3.3201,-5146.2,15m,train,0.45,2354
1.5,1.0,1550,0.206,-4.0031,-6204.79,15m,train,0.45,2354
1.5,1.5,1550,0.126,-5.1388,-7965.12,15m,train,0.45,2354
1.5,2.0,1550,0.085,-6.0908,-9440.76,15m,train,0.45,2354
2.0,0.25,1550,0.446,-1.2026,-1864.01,15m,train,0.45,2354
2.0,0.5,1550,0.374,-2.3631,-3662.75,15m,train,0.45,2354
2.0,0.75,1550,0.314,-3.2047,-4967.34,15m,train,0.45,2354
2.0,1.0,1550,0.261,-3.9142,-6067.0,15m,train,0.45,2354
2.0,1.5,1550,0.174,-5.0683,-7855.87,15m,train,0.45,2354
2.0,2.0,1550,0.125,-6.0305,-9347.28,15m,train,0.45,2354
2.5,0.25,1550,0.423,-0.9726,-1507.49,15m,train,0.45,2354
2.5,0.5,1550,0.365,-2.2114,-3427.6,15m,train,0.45,2354
2.5,0.75,1550,0.327,-3.067,-4753.88,15m,train,0.45,2354
2.5,1.0,1550,0.295,-3.7936,-5880.06,15m,train,0.45,2354
2.5,1.5,1550,0.226,-4.9658,-7696.97,15m,train,0.45,2354
2.5,2.0,1550,0.183,-5.9375,-9203.1,15m,train,0.45,2354
3.0,0.25,1550,0.409,-0.7781,-1206.09,15m,train,0.45,2354
3.0,0.5,1550,0.348,-2.0584,-3190.51,15m,train,0.45,2354
3.0,0.75,1550,0.319,-2.9349,-4549.16,15m,train,0.45,2354
3.0,1.0,1550,0.296,-3.6721,-5691.73,15m,train,0.45,2354
3.0,1.5,1550,0.245,-4.8557,-7526.37,15m,train,0.45,2354
3.0,2.0,1550,0.214,-5.8336,-9042.01,15m,train,0.45,2354
3.5,0.25,1550,0.399,-0.5582,-865.17,15m,train,0.45,2354
3.5,0.5,1550,0.337,-1.8444,-2858.75,15m,train,0.45,2354
3.5,0.75,1550,0.303,-2.7873,-4320.38,15m,train,0.45,2354
3.5,1.0,1550,0.288,-3.5395,-5486.2,15m,train,0.45,2354
3.5,1.5,1550,0.257,-4.7397,-7346.59,15m,train,0.45,2354
3.5,2.0,1550,0.232,-5.7268,-8876.52,15m,train,0.45,2354
4.0,0.25,1550,0.392,-0.434,-672.71,15m,train,0.45,2354
