kind,tf,depth_frac,r_target,expiry_days,avg_pnl_holdout,avg_pnl_train,avg_pnl_validation,n_holdout,n_train,n_validation
BB,15m,0.375,7.0,0.083,1.4688,2.0232,3.1742,130,401,194
BB,15m,0.625,2.0,0.083,0.7922,2.0229,2.9714,132,388,189
BB,15m,0.375,10.0,0.083,1.4693,2.0183,3.1742,130,401,194
BB,15m,0.575,5.0,0.083,0.7957,2.0169,2.7496,132,397,191
BB,15m,0.45,4.0,0.167,1.3269,2.0165,3.58,137,394,190
BB,15m,0.35,2.0,0.125,1.1174,2.015,2.8834,134,403,195
BB,15m,0.525,5.0,0.083,1.2034,2.0103,2.9205,134,392,189
BB,15m,0.5,4.0,0.083,1.2734,2.0097,2.8438,134,397,190
BB,15m,0.65,7.0,0.083,0.9548,2.0089,3.0853,132,383,190
BB,15m,0.625,5.0,0.083,0.8021,2.005,3.0701,132,388,189
BB,15m,0.625,3.0,0.083,0.7857,2.0046,2.7818,132,388,189
BB,15m,0.475,5.0,0.083,1.0638,2.0042,2.7073,136,395,189
BB,15m,0.6,2.0,0.125,0.5587,2.0039,2.7163,131,392,191
BB,15m,0.7,3.0,0.125,1.1697,1.9999,3.1048,129,374,191
BB,15m,0.425,3.0,0.167,1.1812,1.9991,3.2947,135,400,191
BB,15m,0.35,5.0,0.083,1.0391,1.9986,2.9948,134,403,195
BB,15m,0.45,10.0,0.083,0.5715,1.99,2.5899,137,394,190
BB,15m,0.3,7.0,0.083,2.217,1.9899,2.9297,134,402,199
BB,15m,0.45,7.0,0.083,0.5698,1.9895,2.5899,137,394,190
BB,15m,0.65,10.0,0.083,0.9602,1.9895,3.1012,132,383,190
BB,15m,0.675,2.0,0.125,0.7102,1.9854,2.7747,128,379,191
BB,15m,0.3,10.0,0.083,2.2188,1.9848,2.9297,134,402,199
BB,15m,0.55,4.0,0.083,0.604,1.9814,2.7701,132,395,191
BB,15m,0.525,10.0,0.083,1.1153,1.981,2.8979,134,392,189
BB,15m,0.5,5.0,0.083,1.354,1.9799,2.705,134,397,190
BB,15m,0.375,3.0,0.167,2.151,1.9748,3.3831,130,401,194
BB,15m,0.475,7.0,0.083,0.8545,1.9729,2.6883,136,395,189
BB,15m,0.3,5.0,0.167,2.6609,1.9726,3.6938,134,402,199
BB,15m,0.35,4.0,0.083,1.1336,1.9711,3.0259,134,403,195
BB,15m,0.625,7.0,0.083,0.7459,1.9695,2.8543,132,388,189
BB,15m,0.45,2.0,0.083,0.569,1.9682,2.5519,137,394,190
BB,15m,0.525,7.0,0.083,1.1129,1.9656,2.8978,134,392,189
BB,15m,0.3,3.0,0.167,2.8984,1.9654,3.3857,134,402,199
BB,15m,0.325,3.0,0.167,1.609,1.9599,3.6537,132,403,197
BB,15m,0.575,7.0,0.083,0.7224,1.9562,2.6403,132,397,191
BB,15m,0.5,2.0,0.083,1.3134,1.9557,2.5154,134,397,190
BB,15m,0.5,7.0,0.083,1.1438,1.9534,2.6978,134,397,190
BB,15m,0.625,10.0,0.083,0.7493,1.9526,2.8707,132,388,189
BB,15m,0.5,10.0,0.083,1.1456,1.9484,2.6979,134,397,190
BB,15m,0.575,10.0,0.083,0.7254,1.9481,2.648,132,397,191
BB,15m,0.65,2.0,0.083,0.9182,1.9418,3.0387,132,383,190
BB,15m,0.4,3.0,0.167,1.383,1.9383,3.6469,133,402,191
BB,15m,0.45,3.0,0.167,1.2218,1.9366,3.074,137,394,190
BB,15m,0.675,5.0,0.167,1.1911,1.9365,3.3796,128,379,191
BB,15m,0.3,4.0,0.167,2.8061,1.9351,3.6019,134,402,199
BB,15m,0.6,4.0,0.083,0.7129,1.935,3.0412,131,392,191
BB,15m,0.55,2.0,0.083,0.5888,1.928,2.1415,132,395,191
BB,15m,0.325,5.0,0.167,2.0111,1.9193,3.8218,132,403,197
BB,15m,0.35,7.0,0.083,0.9199,1.9141,3.0114,134,403,195
BB,15m,0.35,10.0,0.083,0.9203,1.909,3.0114,134,403,195
BB,15m,0.475,10.0,0.083,0.857,1.9087,2.6883,136,395,189
BB,15m,0.6,3.0,0.083,0.6151,1.9079,2.8535,131,392,191
BB,15m,0.425,4.0,0.167,1.3481,1.9066,3.7135,135,400,191
BB,15m,0.425,5.0,0.167,1.5405,1.9025,3.6169,135,400,191
BB,15m,0.3,10.0,0.167,2.749,1.9019,3.7032,134,402,199
BB,15m,0.45,5.0,0.167,1.5812,1.9011,3.4058,137,394,190
BB,15m,0.375,5.0,0.167,2.5628,1.9004,3.5715,130,401,194
BB,15m,0.675,3.0,0.167,1.1504,1.8994,2.352,128,379,191
BB,15m,0.55,5.0,0.083,0.6409,1.8954,2.7006,132,395,191
BB,15m,0.55,10.0,0.083,0.5709,1.8949,2.6796,132,395,191
BB,15m,0.3,7.0,0.167,2.7167,1.8912,3.7024,134,402,199
BB,15m,0.575,2.0,0.083,0.752,1.891,2.6324,132,397,191
BB,15m,0.325,4.0,0.167,2.0393,1.88,3.7149,132,403,197
BB,15m,0.325,10.0,0.167,1.9491,1.8772,3.8489,132,403,197
