r_target,expiry_days,n,win_rate,avg_pnl,total_pnl,kind,tf,split,depth_frac,n_zones
4.0,2.0,403,0.318,-3.8745,-1561.44,BB,15m,train,0.35,767
4.0,5.0,403,0.28,-8.394,-3382.78,BB,15m,train,0.35,767
5.0,0.083,403,0.663,1.9986,805.43,BB,15m,train,0.35,767
5.0,0.125,403,0.571,2.2006,886.85,BB,15m,train,0.35,767
5.0,0.167,403,0.521,1.7253,695.3,BB,15m,train,0.35,767
5.0,0.25,403,0.471,1.5267,615.25,BB,15m,train,0.35,767
5.0,0.5,403,0.387,0.459,184.97,BB,15m,train,0.35,767
5.0,1.0,403,0.313,-1.0889,-438.83,BB,15m,train,0.35,767
5.0,2.0,403,0.29,-3.3305,-1342.2,BB,15m,train,0.35,767
5.0,5.0,403,0.243,-8.0812,-3256.71,BB,15m,train,0.35,767
7.0,0.083,403,0.655,1.9141,771.37,BB,15m,train,0.35,767
7.0,0.125,403,0.561,2.0468,824.88,BB,15m,train,0.35,767
7.0,0.167,403,0.511,1.5857,639.05,BB,15m,train,0.35,767
7.0,0.25,403,0.462,1.4339,577.85,BB,15m,train,0.35,767
7.0,0.5,403,0.372,0.4905,197.69,BB,15m,train,0.35,767
7.0,1.0,403,0.293,-0.8903,-358.79,BB,15m,train,0.35,767
7.0,2.0,403,0.261,-2.834,-1142.1,BB,15m,train,0.35,767
7.0,5.0,403,0.213,-7.4089,-2985.78,BB,15m,train,0.35,767
10.0,0.083,403,0.655,1.909,769.32,BB,15m,train,0.35,767
10.0,0.125,403,0.561,2.0449,824.08,BB,15m,train,0.35,767
10.0,0.167,403,0.511,1.5956,643.02,BB,15m,train,0.35,767
10.0,0.25,403,0.462,1.4494,584.12,BB,15m,train,0.35,767
10.0,0.5,403,0.36,0.1813,73.05,BB,15m,train,0.35,767
10.0,1.0,403,0.278,-0.9497,-382.74,BB,15m,train,0.35,767
10.0,2.0,403,0.236,-2.8994,-1168.46,BB,15m,train,0.35,767
10.0,5.0,403,0.171,-7.2789,-2933.38,BB,15m,train,0.35,767
2.0,0.083,401,0.701,2.1296,853.99,BB,15m,train,0.375,767
2.0,0.125,401,0.631,2.0583,825.39,BB,15m,train,0.375,767
2.0,0.167,401,0.586,1.5938,639.12,BB,15m,train,0.375,767
2.0,0.25,401,0.551,1.1574,464.12,BB,15m,train,0.375,767
2.0,0.5,401,0.506,-0.0969,-38.88,BB,15m,train,0.375,767
2.0,1.0,401,0.464,-1.6807,-673.97,BB,15m,train,0.375,767
2.0,2.0,401,0.392,-3.871,-1552.27,BB,15m,train,0.375,767
2.0,5.0,401,0.214,-8.2447,-3306.14,BB,15m,train,0.375,767
3.0,0.083,401,0.688,2.2176,889.27,BB,15m,train,0.375,767
3.0,0.125,401,0.608,2.3646,948.19,BB,15m,train,0.375,767
3.0,0.167,401,0.556,1.9748,791.9,BB,15m,train,0.375,767
3.0,0.25,401,0.511,1.5835,634.97,BB,15m,train,0.375,767
3.0,0.5,401,0.444,0.1909,76.56,BB,15m,train,0.375,767
3.0,1.0,401,0.397,-1.4905,-597.69,BB,15m,train,0.375,767
3.0,2.0,401,0.367,-3.6495,-1463.46,BB,15m,train,0.375,767
3.0,5.0,401,0.292,-8.1201,-3256.18,BB,15m,train,0.375,767
4.0,0.083,401,0.676,2.0706,830.32,BB,15m,train,0.375,767
4.0,0.125,401,0.586,2.2737,911.75,BB,15m,train,0.375,767
4.0,0.167,401,0.526,1.7624,706.72,BB,15m,train,0.375,767
4.0,0.25,401,0.471,1.3976,560.44,BB,15m,train,0.375,767
4.0,0.5,401,0.394,0.1789,71.72,BB,15m,train,0.375,767
