r_target,expiry_days,n,win_rate,avg_gross,avg_net,total_net,tf,split,depth_frac,n_zones
3.0,0.25,1173,0.388,1.0059,-0.7456,-874.57,10m,validation,0.45,1381
3.0,0.5,1173,0.367,0.8455,-0.9264,-1086.61,10m,validation,0.45,1381
3.0,0.75,1173,0.359,0.7902,-0.9827,-1152.65,10m,validation,0.45,1381
3.0,1.0,1173,0.356,0.7648,-1.008,-1182.43,10m,validation,0.45,1381
3.0,1.5,1173,0.346,0.7379,-1.0349,-1213.96,10m,validation,0.45,1381
3.0,2.0,1173,0.345,0.7232,-1.0497,-1231.26,10m,validation,0.45,1381
3.5,0.25,1173,0.373,1.1032,-0.6406,-751.46,10m,validation,0.45,1381
3.5,0.5,1173,0.346,0.8954,-0.8764,-1027.97,10m,validation,0.45,1381
3.5,0.75,1173,0.336,0.8289,-0.9439,-1107.22,10m,validation,0.45,1381
3.5,1.0,1173,0.332,0.7976,-0.9752,-1143.88,10m,validation,0.45,1381
3.5,1.5,1173,0.322,0.7643,-1.0085,-1182.94,10m,validation,0.45,1381
3.5,2.0,1173,0.321,0.746,-1.0268,-1204.43,10m,validation,0.45,1381
4.0,0.25,1173,0.361,1.1717,-0.5616,-658.75,10m,validation,0.45,1381
4.0,0.5,1173,0.332,0.9614,-0.8074,-947.09,10m,validation,0.45,1381
4.0,0.75,1173,0.321,0.8875,-0.8838,-1036.72,10m,validation,0.45,1381
4.0,1.0,1173,0.317,0.85,-0.9227,-1082.34,10m,validation,0.45,1381
4.0,1.5,1173,0.306,0.8098,-0.9629,-1129.53,10m,validation,0.45,1381
4.0,2.0,1173,0.305,0.7877,-0.9851,-1155.5,10m,validation,0.45,1381
4.5,0.25,1173,0.354,1.3319,-0.3845,-450.98,10m,validation,0.45,1381
4.5,0.5,1173,0.321,1.096,-0.6705,-786.55,10m,validation,0.45,1381
4.5,0.75,1173,0.309,1.0129,-0.758,-889.15,10m,validation,0.45,1381
4.5,1.0,1173,0.305,0.9711,-0.8013,-939.96,10m,validation,0.45,1381
4.5,1.5,1173,0.292,0.9263,-0.8464,-992.86,10m,validation,0.45,1381
4.5,2.0,1173,0.292,0.9018,-0.871,-1021.7,10m,validation,0.45,1381
5.0,0.25,1173,0.348,1.3739,-0.3305,-387.73,10m,validation,0.45,1381
5.0,0.5,1173,0.313,1.1587,-0.6043,-708.83,10m,validation,0.45,1381
5.0,0.75,1173,0.302,1.0738,-0.6963,-816.75,10m,validation,0.45,1381
5.0,1.0,1173,0.297,1.0293,-0.743,-871.53,10m,validation,0.45,1381
5.0,1.5,1173,0.282,0.9811,-0.7917,-928.69,10m,validation,0.45,1381
5.0,2.0,1173,0.28,0.9544,-0.8184,-960.0,10m,validation,0.45,1381
