ts_ms,open,high,low,close,volume
1780901100000,1666.06,1666.96,1662.88,1665.83,6341.45
1780902000000,1665.83,1671.66,1660.84,1667.88,14859.62
1780902900000,1667.88,1675.98,1664.68,1672.94,21532.46
1780903800000,1672.94,1678.45,1670.84,1671.58,39664.02
1780904700000,1671.58,1677.17,1670.9,1672.82,27494.37
1780905600000,1672.82,1672.82,1664.55,1668.65,19870.41
1780906500000,1668.65,1669.59,1661.67,1666.45,12384.45
1780907400000,1666.45,1669.17,1662.16,1664.61,6518.41
1780908300000,1664.61,1664.99,1657.49,1660.47,14257.89
1780909200000,1660.47,1665.47,1656.67,1664.4,10339.4
1780910100000,1664.4,1671.0,1661.15,1661.89,13262.42
1780911000000,1661.89,1666.55,1655.99,1662.28,26086.2
1780911900000,1662.28,1671.45,1661.49,1670.11,23676.11
1780912800000,1670.11,1671.98,1666.42,1669.05,11936.28
1780913700000,1669.05,1669.75,1662.76,1664.76,15106.03
1780914600000,1664.76,1676.22,1662.29,1670.82,40075.97
1780915500000,1670.82,1672.5,1668.43,1671.74,9216.98
1780916400000,1671.74,1681.88,1666.96,1680.65,32109.7
1780917300000,1680.65,1695.46,1679.66,1688.13,78693.13
1780918200000,1688.13,1696.26,1684.24,1687.93,24840.19
1780919100000,1687.93,1688.74,1681.06,1683.02,18780.3
1780920000000,1683.02,1688.83,1666.04,1667.31,86879.27
1780920900000,1667.31,1678.8,1667.07,1678.7,25835.21
1780921800000,1678.7,1695.84,1677.25,1691.81,41059.0
1780922700000,1691.81,1698.73,1686.8,1694.57,29416.18
1780923600000,1694.57,1695.54,1688.98,1691.14,25073.82
1780924500000,1691.14,1696.36,1685.63,1687.96,28544.7
1780925400000,1687.96,1691.83,1679.83,1682.04,38586.96
1780926300000,1682.04,1688.84,1677.48,1680.67,24445.58
1780927200000,1680.67,1688.48,1675.28,1686.26,21068.53
1780928100000,1686.26,1686.64,1679.46,1683.5,16902.72
1780929000000,1683.5,1688.91,1681.16,1685.49,16309.06
1780929900000,1685.49,1693.91,1682.48,1690.56,29946.88
1780930800000,1690.56,1705.0,1689.86,1703.51,50131.71
1780931700000,1703.51,1705.76,1693.49,1695.08,27000.26
1780932600000,1695.08,1695.47,1688.85,1693.27,34033.08
1780933500000,1693.27,1701.37,1687.31,1690.63,41715.85
1780934400000,1690.63,1697.57,1686.48,1694.26,11399.85
1780935300000,1694.26,1703.0,1694.16,1696.64,22513.64
1780936200000,1696.64,1696.98,1689.45,1691.97,22598.03
1780937100000,1691.97,1692.46,1681.0,1681.47,40898.31
1780938000000,1681.47,1683.29,1674.28,1677.76,59263.98
1780938900000,1677.76,1687.2,1677.72,1685.58,45462.31
1780939800000,1685.58,1685.77,1676.41,1679.62,12667.23
1780940700000,1679.62,1685.9,1679.4,1685.69,13694.98
1780941600000,1685.69,1691.76,1684.83,1686.98,13348.83
1780942500000,1686.98,1687.94,1683.7,1687.2,5179.65
1780943400000,1687.2,1689.36,1680.08,1682.5,6887.87
1780944300000,1682.5,1685.92,1677.53,1683.69,6230.83
1780945200000,1683.69,1687.89,1680.11,1683.12,8057.43
1780946100000,1683.12,1689.76,1680.56,1686.4,15020.99
1780947000000,1686.4,1689.35,1683.66,1687.96,9438.62
1780947900000,1687.96,1690.09,1681.46,1683.65,12763.65
1780948800000,1683.65,1687.71,1680.0,1681.82,8710.63
1780949700000,1681.82,1684.98,1677.71,1678.49,26955.66
1780950600000,1678.49,1687.93,1677.83,1685.65,10772.0
1780951500000,1685.65,1688.59,1684.61,1688.58,4645.2
1780952400000,1688.58,1713.78,1688.58,1708.26,67694.51
1780953300000,1708.26,1712.07,1703.8,1708.75,10427.12
1780954200000,1708.75,1713.42,1706.7,1713.14,6531.58
1780955100000,1713.14,1713.33,1702.74,1702.74,8312.2
1780956000000,1702.74,1702.74,1689.63,1690.33,21797.46
1780956900000,1690.33,1696.07,1687.18,1694.2,27648.98
1780957800000,1694.2,1696.25,1690.91,1695.57,16830.76
1780958700000,1695.57,1703.14,1694.05,1702.47,7932.65
1780959600000,1702.47,1713.58,1701.38,1711.22,13063.05
1780960500000,1711.22,1711.39,1694.0,1696.74,27374.32
1780961400000,1696.74,1699.29,1692.27,1696.14,6292.65
1780962300000,1696.14,1696.14,1685.46,1688.92,39018.46
1780963200000,1688.92,1690.9,1682.49,1684.49,18120.29
1780964100000,1684.49,1695.48,1670.0,1674.45,65345.14
1780965000000,1674.45,1675.74,1663.02,1670.72,74520.65
1780965900000,1670.72,1670.75,1658.02,1661.94,53971.22
1780966800000,1661.94,1666.6,1657.1,1663.0,18175.55
1780967700000,1663.0,1672.62,1662.13,1668.85,18876.87
1780968600000,1668.85,1673.35,1666.33,1668.29,12341.75
1780969500000,1668.29,1671.36,1665.23,1667.65,9028.16
1780970400000,1667.65,1670.95,1665.96,1666.25,4336.2
1780971300000,1666.25,1666.43,1659.64,1664.36,10744.98
1780972200000,1664.36,1666.03,1652.97,1660.49,12652.2
1780973100000,1660.49,1667.44,1658.85,1667.05,6928.0
1780974000000,1667.05,1668.4,1664.1,1667.97,6763.06
